id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_chatgpt_config_user,chatgpt.config.user,model_chatgpt_config,base.group_user,1,0,0,0
access_chatgpt_config_manager,chatgpt.config.manager,model_chatgpt_config,base.group_system,1,1,1,1
access_chatgpt_product_prompt_user,chatgpt.product.prompt.user,model_chatgpt_product_prompt,base.group_user,1,0,0,0
access_chatgpt_product_prompt_manager,chatgpt.product.prompt.manager,model_chatgpt_product_prompt,base.group_system,1,1,1,1
access_chatgpt_model_user,chatgpt.model.user,model_chatgpt_model,base.group_user,1,0,0,0
access_chatgpt_model_manager,chatgpt.model.manager,model_chatgpt_model,base.group_system,1,1,1,1
access_product_competitor_price_user,product.competitor.price.user,model_product_competitor_price,base.group_user,1,1,1,1
access_product_video_link_user,product.video.link.user,model_product_video_link,base.group_user,1,1,1,1
access_product_discovered_media_user,product.discovered.media.user,model_product_discovered_media,base.group_user,1,1,1,1
access_ai_queue_user,product.enrichment.queue user,model_product_enrichment_queue,base.group_user,1,0,0,0
access_ai_queue_manager,product.enrichment.queue manager,model_product_enrichment_queue,stock.group_stock_manager,1,1,1,1
access_ai_wizard_manager,batch.enrichment.wizard manager,model_batch_enrichment_wizard,stock.group_stock_manager,1,1,1,0
access_ai_dashboard_user,product.enrichment.dashboard user,model_product_enrichment_dashboard,base.group_user,1,1,1,0
access_ai_dashboard_manager,product.enrichment.dashboard manager,model_product_enrichment_dashboard,base.group_system,1,1,1,1
